Class,Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline
1,11,18,23,24,32,39,49,52,57,63,72,75,85
1,11,17,23,25,32,40,49,53,58,64,72,76,86
1,10,18,23,26,33,41,49,52,58,65,72,75,87
1,11,17,23,27,34,40,49,54,59,63,72,76,88
1,10,18,23,28,33,42,49,53,59,66,72,77,87
1,10,18,23,28,35,39,49,53,59,64,72,78,87
1,10,18,23,26,34,39,49,53,57,64,72,78,87
1,10,16,23,29,35,40,49,53,59,64,72,77,85
1,10,16,23,28,32,40,49,55,59,65,72,78,85
1,10,18,23,26,32,40,49,55,58,64,72,76,87
1,10,16,23,26,35,43,49,52,60,64,72,77,87
1,10,16,23,28,35,39,49,53,59,64,72,77,87
1,10,16,23,24,35,42,49,54,58,64,72,77,86
1,10,18,23,24,32,42,49,53,58,65,72,76,87
1,9,18,23,26,33,40,49,53,60,65,72,77,87
1,10,18,23,25,34,40,49,53,59,66,72,77,87
1,10,16,23,25,33,40,49,54,59,66,72,79,86
1,10,16,23,26,33,42,49,53,59,67,72,77,87
1,9,15,23,28,33,39,49,56,60,64,72,75,89
1,10,16,23,28,36,40,49,52,58,64,72,78,88
1,8,14,23,25,32,43,49,52,59,63,72,78,88
1,10,18,23,26,32,39,49,52,59,63,72,80,85
1,8,16,23,26,35,39,49,52,60,63,72,78,85
1,9,18,23,25,35,39,49,52,60,68,72,80,89
1,11,18,23,30,34,39,49,54,59,68,72,75,88
1,9,18,23,28,35,40,49,53,60,64,72,75,86
1,11,16,23,26,35,43,49,52,57,63,72,77,87
1,10,18,23,25,33,40,49,54,59,63,72,75,89
1,10,16,23,28,35,39,49,52,59,63,72,78,85
1,10,16,23,31,32,40,49,53,58,64,72,77,87
1,9,16,23,25,32,40,49,55,59,66,72,77,87
1,9,18,23,26,32,43,49,54,59,63,72,77,85
1,10,16,23,25,36,40,49,54,57,64,72,76,86
1,9,18,23,25,33,43,49,53,60,63,72,77,85
1,9,18,23,27,32,39,49,52,59,64,72,78,89
1,11,16,23,28,33,39,49,53,57,63,72,77,89
1,11,16,23,26,32,39,49,53,60,63,72,79,85
1,11,16,22,28,32,43,49,52,60,63,72,77,85
1,10,14,23,29,36,40,49,55,58,64,72,78,88
1,9,16,23,28,34,42,49,53,58,66,72,75,88
1,9,14,23,25,35,39,49,52,60,63,72,76,85
1,10,18,23,28,32,42,49,56,59,64,72,78,85
1,11,14,23,26,32,39,49,53,60,63,72,76,90
1,11,18,22,26,33,40,49,52,58,64,72,75,89
1,10,14,23,25,33,40,49,53,57,64,72,75,85
1,10,13,23,28,32,42,49,52,58,64,72,75,85
1,10,16,23,28,32,42,49,55,58,66,72,75,85
1,10,18,23,25,32,40,49,53,58,66,72,77,85
1,10,16,23,26,33,40,49,53,58,67,72,76,87
1,11,16,22,24,35,40,49,56,58,65,72,76,86
1,10,16,23,26,35,39,49,55,58,64,72,75,87
1,10,16,23,29,33,41,49,53,59,66,72,75,86
1,10,18,23,26,33,40,49,54,59,66,72,76,87
1,10,16,23,28,34,39,49,55,60,64,72,75,85
1,9,16,23,27,33,40,49,55,58,66,72,76,86
1,10,16,23,28,34,42,49,52,58,66,72,75,89
1,11,18,23,26,32,40,49,53,60,66,72,77,87
1,10,16,23,26,33,44,49,55,58,66,72,77,87
2,7,12,21,24,37,45,50,52,61,69,72,81,91
2,7,12,23,28,32,45,51,54,61,68,72,82,90
2,8,16,22,26,32,45,49,54,61,64,72,82,91
2,9,16,20,26,35,45,49,53,62,63,72,79,90
2,7,12,23,25,37,44,49,55,59,63,72,77,91
2,6,16,23,25,32,45,49,54,62,68,72,83,92
2,7,12,23,26,32,43,49,54,58,63,72,83,90
2,11,12,19,28,38,40,49,52,58,64,72,76,91
2,7,12,20,25,38,45,49,52,62,63,72,78,91
2,9,12,23,26,33,39,49,54,61,68,72,81,88
2,7,12,20,26,36,45,51,56,58,68,72,76,88
2,7,16,23,27,32,46,51,54,60,68,72,81,89
2,10,16,23,30,37,40,49,55,59,68,72,76,92
2,9,16,23,31,37,45,49,52,62,63,72,77,91
2,11,16,23,30,36,42,49,55,59,68,72,78,85
2,6,12,23,27,32,44,49,56,60,68,72,76,89
2,5,18,20,28,35,47,49,53,57,63,72,83,91
2,11,12,19,28,37,45,49,52,60,63,72,79,92
2,6,15,23,26,33,47,49,54,62,68,72,79,91
2,7,12,22,28,36,45,49,54,58,68,72,83,88
2,8,14,23,31,32,40,49,54,59,68,72,76,91
2,6,12,22,25,37,43,49,53,60,68,72,76,92
2,8,18,23,25,37,43,49,52,59,63,72,76,88
2,6,12,23,31,38,45,49,54,60,69,72,77,90
2,11,14,23,31,37,47,49,54,60,64,72,81,91
2,6,12,23,26,35,43,49,55,58,68,72,76,91
2,8,12,23,26,32,43,49,53,60,68,72,76,91
2,6,16,23,31,35,47,49,54,60,69,72,83,91
2,5,16,23,30,37,45,49,54,57,68,72,75,90
2,5,18,23,27,37,45,49,54,57,68,72,77,90
2,6,16,23,31,38,43,49,54,60,69,72,75,90
2,6,18,23,25,37,47,49,54,60,69,72,83,91
2,6,16,23,27,37,48,51,54,60,68,72,77,91
2,8,16,23,27,37,48,49,54,60,68,72,81,91
2,7,15,23,26,37,39,49,52,59,69,72,75,92
2,5,18,23,26,32,42,49,56,57,68,72,76,92
2,7,16,23,25,36,39,49,53,58,68,72,79,89
2,6,18,23,27,36,47,51,56,60,68,72,83,90
2,7,16,22,28,37,39,49,53,59,68,72,77,91
2,7,12,22,25,37,44,49,52,59,63,72,77,90
2,7,15,23,26,37,40,49,54,58,69,72,77,92
2,6,18,19,26,35,43,49,52,60,68,72,76,88
2,8,16,20,25,37,48,49,53,57,69,72,77,90
2,7,17,23,27,32,39,49,53,57,68,72,75,91
2,6,16,20,25,37,39,49,54,60,69,72,79,92
2,7,16,22,27,37,43,49,53,60,68,72,78,90
2,7,17,23,27,35,47,49,54,60,68,72,75,92
2,7,16,23,25,37,47,49,54,60,68,72,76,91
2,8,16,23,31,37,48,49,54,60,68,72,79,91
2,7,16,22,25,35,43,49,54,58,68,72,76,92
2,5,16,23,25,35,40,49,53,58,68,72,75,90
2,5,13,20,25,33,42,49,52,58,68,72,77,90
2,7,17,23,27,37,39,49,52,57,69,72,77,92
2,5,17,23,25,32,47,49,54,57,63,72,79,90
2,4,12,23,27,37,39,49,54,60,68,72,83,91
2,6,16,23,31,37,39,49,54,62,68,72,75,92
2,4,16,23,27,37,39,49,54,58,69,72,77,92
2,6,16,22,27,37,45,49,53,60,69,72,75,91
2,7,16,23,31,33,45,49,53,60,69,72,76,92
2,8,13,22,28,37,47,51,54,62,68,73,83,92
2,6,13,22,25,37,45,49,54,59,69,72,76,90
2,5,17,23,25,35,40,49,53,59,68,72,75,90
2,5,18,23,30,34,42,49,54,59,66,72,78,91
2,7,14,23,30,32,43,49,54,59,69,72,76,92
2,11,14,23,27,37,39,49,53,58,68,72,76,92
2,6,14,23,27,37,40,49,55,58,68,72,78,92
2,6,18,23,27,37,39,49,54,57,68,72,75,92
2,7,16,23,27,37,40,49,54,59,63,73,77,92
2,5,18,23,30,35,45,49,54,59,68,72,79,91
2,7,16,23,30,37,43,49,54,59,69,72,77,92
2,6,14,23,27,37,45,49,54,57,68,72,79,90
3,8,16,23,26,34,48,51,55,62,63,72,84,90
3,8,15,23,25,32,48,51,52,62,64,72,84,91
3,8,17,23,31,32,46,51,52,62,64,73,84,90
3,8,13,23,27,32,47,51,56,62,64,72,84,90
3,7,12,23,26,37,45,50,54,57,64,72,84,90
3,8,17,23,25,35,47,50,54,62,66,72,82,90
3,7,14,23,27,35,48,50,54,62,63,72,84,88
3,7,14,23,30,35,47,50,54,57,64,72,82,91
3,9,13,23,25,37,47,50,54,62,64,72,81,90
3,8,15,23,31,32,43,50,54,62,64,72,83,90
3,8,15,23,27,35,48,50,54,62,63,72,83,90
3,9,17,23,25,35,48,50,54,61,64,73,79,88
3,9,15,23,31,35,48,50,54,61,63,72,81,91
3,9,14,23,25,35,45,50,54,62,63,72,81,91
3,7,14,23,25,33,48,50,53,57,65,73,81,89
3,11,13,23,27,32,48,50,54,57,63,74,82,88
3,10,14,23,25,37,46,50,54,61,64,74,84,92
3,8,14,23,27,37,47,50,54,62,65,74,81,90
3,9,15,23,27,35,45,50,54,57,67,74,82,90
3,11,14,23,27,33,48,49,53,57,67,74,84,91
3,9,15,23,31,34,48,49,55,57,67,74,84,91
3,8,17,23,27,33,48,49,52,57,70,74,84,91
3,11,18,23,30,33,43,51,52,60,66,73,84,91
3,11,13,23,25,32,47,51,54,59,71,74,84,90
3,8,16,22,25,32,48,50,54,60,65,74,82,90
3,11,14,23,27,35,47,50,54,60,65,74,84,88
3,10,14,23,25,35,47,51,54,60,67,74,82,91
3,7,15,23,30,35,45,50,54,57,65,73,82,89
3,10,16,23,30,32,40,49,54,58,70,74,81,90
3,9,16,23,31,35,39,51,54,58,70,74,82,90
3,7,14,23,27,37,43,51,54,62,65,74,82,91
3,9,15,23,25,33,47,50,54,62,64,72,81,90
3,8,15,23,27,32,47,50,54,62,64,72,83,90
3,11,13,23,25,32,48,50,54,62,64,73,82,90
3,10,17,23,27,35,48,50,54,62,71,73,82,90
3,10,14,23,31,37,48,50,54,57,66,72,82,91
3,9,13,23,31,33,47,51,54,60,70,72,82,90
3,8,13,23,25,37,48,50,54,62,71,73,82,90
3,9,17,23,30,32,48,51,54,60,67,72,82,88
3,9,14,23,30,33,45,51,52,57,67,73,81,90
3,7,15,23,25,35,46,50,54,62,64,73,81,91
3,8,17,23,25,37,48,50,54,61,71,74,82,91
3,10,17,23,25,35,47,50,54,57,71,73,82,90
3,10,14,23,27,35,47,50,54,57,65,73,82,88
3,9,14,23,31,32,47,50,54,60,65,73,82,88
3,11,14,23,25,34,47,50,54,57,71,74,82,88
3,11,17,23,25,34,47,50,54,60,67,74,82,89
3,10,14,23,30,35,45,50,54,57,67,73,82,90
